"caseid","age","birthyr","gender","race"
392137436,41,1977,2,1
392131052,73,1945,2,1
392122309,58,1960,1,1
392135931,55,1963,1,7
392106970,43,1975,2,1
392094762,54,1964,1,1
392034735,70,1948,1,1
392137383,64,1954,2,1
392112853,35,1983,1,1
392131116,48,1970,2,1
392037380,61,1957,2,2
392117446,67,1951,1,1
392119162,52,1966,2,1
392136900,52,1966,2,1
392137619,51,1967,1,1
392128859,64,1954,1,1
392136196,61,1957,2,1
391686888,40,1978,1,2
392113728,85,1933,1,1
392136383,73,1945,2,1
392123685,79,1939,2,1
392136623,64,1954,1,1
392122182,84,1934,1,5
392031956,65,1953,1,1
392090808,69,1949,2,1
392128195,78,1940,1,3
392131972,56,1962,2,1
392040044,48,1970,2,1
392088546,64,1954,1,1
392116377,65,1953,2,3
392136191,78,1940,2,1
392137396,82,1936,1,1
392136630,73,1945,1,3
392137840,30,1988,1,1
392106700,59,1959,1,1
392136454,43,1975,2,1
392127646,63,1955,1,1
392105966,53,1965,1,1
392131767,55,1963,1,1
392131912,56,1962,2,1
392131762,77,1941,2,1
392122838,83,1935,2,1
392132701,58,1960,1,3
392136710,51,1967,2,2
392137747,42,1976,2,1
392122459,59,1959,1,1
392117387,49,1969,2,1
392134940,58,1960,2,1
392114501,57,1961,2,2
392131297,48,1970,2,1
392132004,61,1957,1,1
392137022,55,1963,2,1
391850613,50,1968,2,3
392131063,71,1947,2,1
392090492,88,1930,1,1
392137959,28,1990,2,1
392137885,46,1972,2,1
392127353,68,1950,1,1
392113506,54,1964,1,1
392105649,46,1972,2,1
392122870,72,1946,1,4
392080083,77,1941,2,1
392099559,42,1976,2,1
392136404,79,1939,1,1
392106930,73,1945,2,1
392140607,28,1990,1,1
392140613,63,1955,2,1
392090763,64,1954,1,1
392136347,57,1961,2,1
392079497,54,1964,1,1
392107024,68,1950,2,2
392091684,38,1980,1,1
392109483,54,1964,1,1
392087238,79,1939,2,1
392103565,54,1964,1,1
392140714,35,1983,2,1
392116623,65,1953,2,3
392039943,38,1980,1,1
392127851,65,1953,2,1
392136779,61,1957,2,1
392129962,51,1967,1,1
392116502,77,1941,1,1
392122844,77,1941,2,1
392140815,40,1978,2,1
392102804,73,1945,2,1
392131040,57,1961,1,1
392128413,51,1967,2,1
392112668,66,1952,1,1
392117311,83,1935,2,1
392068486,48,1970,1,3
392094897,75,1943,2,1
392135989,62,1956,1,1
392135874,49,1969,2,1
392110496,46,1972,1,3
392098998,92,1926,2,1
392122013,40,1978,2,2
392141269,37,1981,2,1
392141110,44,1974,2,1
392112442,73,1945,2,1
392141256,34,1984,2,3
392127990,55,1963,1,1
392012725,81,1937,2,1
392141329,21,1997,2,2
392118479,78,1940,2,1
391571845,48,1970,1,1
392113750,58,1960,2,1
392116721,61,1957,1,1
392132734,72,1946,2,1
391508934,66,1952,2,1
392077503,64,1954,1,1
392081368,63,1955,2,1
392136718,63,1955,1,1
392136414,47,1971,2,1
392034615,69,1949,1,1
392140248,46,1972,1,1
392112474,60,1958,1,1
392091580,68,1950,1,1
392141396,50,1968,1,1
392139526,37,1981,2,1
392136298,36,1982,2,1
392128030,57,1961,2,1
392139898,75,1943,2,1
392140865,48,1970,2,1
392124251,55,1963,2,1
392140333,68,1950,2,1
392099249,37,1981,2,1
392113502,84,1934,2,1
392131006,74,1944,1,1
391260544,51,1967,1,1
392131279,74,1944,2,1
392127783,78,1940,1,1
392138855,36,1982,2,1
392091436,71,1947,2,1
392136475,52,1966,1,1
392141900,30,1988,2,4
391877489,75,1943,2,2
392127949,48,1970,2,1
392140627,58,1960,2,1
392103083,68,1950,1,2
392103388,82,1936,2,6
392047451,38,1980,1,1
392090897,58,1960,1,3
392117031,57,1961,2,1
392029358,54,1964,1,1
392127409,77,1941,1,1
392118445,56,1962,2,1
392139750,71,1947,2,1
392119112,38,1980,2,3
392121794,80,1938,2,1
392135223,59,1959,2,3
392099051,60,1958,1,1
392143985,45,1973,1,1
392144007,64,1954,2,1
392103068,57,1961,2,1
392141249,69,1949,2,5
392144106,55,1963,1,1
392144296,30,1988,2,1
392144349,54,1964,1,1
392144292,59,1959,1,1
392124533,53,1965,2,2
392081420,66,1952,2,1
392144697,38,1980,1,1
392144602,41,1977,1,1
392144677,37,1981,2,1
392144543,47,1971,2,2
392048092,41,1977,1,1
392128241,66,1952,2,1
392143261,53,1965,2,1
392144224,31,1987,2,1
392118399,69,1949,2,1
392127430,71,1947,1,2
392117030,57,1961,1,7
392144506,60,1958,2,1
392144773,43,1975,1,1
392144810,63,1955,2,1
392144692,66,1952,2,1
392144795,46,1972,2,3
392129832,68,1950,2,3
392145097,52,1966,1,1
392145201,37,1981,1,6
392106701,74,1944,2,1
392134636,63,1955,2,1
392144367,55,1963,1,3
392096531,60,1958,2,3
392145227,60,1958,2,1
392144922,50,1968,2,2
392045477,67,1951,2,1
392084088,78,1940,1,2
392145197,44,1974,1,1
392116471,81,1937,2,7
392147656,28,1990,2,3
391814758,48,1970,2,1
392095684,59,1959,1,1
392145137,40,1978,1,6
392144958,41,1977,2,2
392145299,19,1999,2,1
392145308,65,1953,2,1
392127466,80,1938,2,1
392147674,59,1959,1,1
392143711,74,1944,1,2
392145001,49,1969,1,2
392144891,38,1980,1,6
392145252,64,1954,1,2
392147823,41,1977,2,1
392145177,55,1963,1,1
392147664,44,1974,1,1
392147685,50,1968,1,1
392145915,43,1975,2,3
392148131,48,1970,2,4
392148049,39,1979,2,1
392148055,64,1954,1,1
392128237,55,1963,2,1
392148262,54,1964,2,1
392148109,36,1982,2,1
392091149,78,1940,1,1
392148487,42,1976,2,1
392110025,80,1938,2,1
392113565,70,1948,1,1
392148334,59,1959,2,1
392148514,40,1978,2,1
392140307,69,1949,2,2
